restaurantID,name,location,reviewCount,rating,categories,address,Hours,GoodforKids,AcceptsCreditCards,Parking,Attire,GoodforGroups,PriceRange,TakesReservations,Delivery,Takeout,WaiterService,OutdoorSeating,WiFi,GoodFor,Alcohol,NoiseLevel,Ambience,HasTV,Caters,WheelchairAccessible,webSite,phoneNumber,filReviewCount
-iC6IMSJaNL8BcWHxvf9Sg,Roti Mediterranean Grill,"Roti Mediterranean Grill - The Loop - Chicago, IL",93,4,"Restaurants, Mediterranean, METADATA","310 W Adams (between Franklin St & Wacker Dr) Chicago, IL 60606 Neighborhood: The Loop",,No,Yes,Street,Casual,Yes,$,No,No,Yes,No,No,,Lunch,No,Average,Casual,No,Yes,Yes,http://www.roti.com,(312) 236-3500,7
1rJZHq8Cce3PJxCte1lalw,Roti Mediterranean Grill,"Roti Mediterranean Grill - The Loop - Chicago, IL",39,4,"Restaurants, Mediterranean, METADATA","200 W Randolph (between Wells St & Franklin St) Chicago, IL 60606 Neighborhood: The Loop",Mon-Fri 11 am - 8 pm Sat 11 am - 4 pm,Yes,Yes,Street,Casual,Yes,$,No,Yes,Yes,No,Yes,No,Lunch,No,Very Loud,Casual,No,Yes,,http://www.roti.com,(312) 332-6013,5
1uqwWskpD_i2Icx0f9S8jg,Roti Mediterranean Grill,"Roti Mediterranean Grill - The Loop - Chicago, IL",102,4,"Restaurants, Mediterranean, METADATA","33 N Dearborn Chicago, IL 60602 Neighborhood: The Loop",Mon-Fri 7 am - 8 pm Sat 10 am - 4 pm,Yes,Yes,Street,Casual,Yes,$,No,No,Yes,No,Yes,Free,Lunch,No,Average,Casual,No,Yes,Yes,http://roti.com,(312) 263-9000,7
42fKxghGjTmoBaTsX0OiFg,Ronny's Original Chicago Steak House,"Ronny's Original Chicago Steak House - The Loop - Chicago, IL",67,4,"Restaurants, Steakhouses, Sandwiches, Barbeque, METADATA","100 W Randolph St (between Michigan Ave & Beaubien Ct) Chicago, IL 60601 Neighborhood: The Loop",,Yes,Yes,Street,Casual,Yes,$,No,No,Yes,No,No,No,Lunch,Beer & Wine Only,Average,Casual,No,,Yes,http://www.ronnyssteakhouse.com,(312) 346-9487,11
7HkdXqAPiujN4CIQvPcw4Q,Ruby of Siam,"Ruby of Siam - The Loop - Chicago, IL",106,4,"Restaurants, Thai, METADATA","170 W Washington St (between La Salle St & Wells St) Chicago, IL 60602 Neighborhood: The Loop",Mon-Thu 10:30 am - 9 pm Fri 10:30 am - 10 pm Sat 12 pm - 10 pm,Yes,Yes,Street,Casual,Yes,$$,No,Yes,Yes,Yes,No,,Lunch,No,Average,Casual,No,Yes,Yes,http://www.rubyofsiamchicago.com,(312) 609-0000,11
8C7chv8xmQklcl-7okaN8w,Ricobene's,"Ricobene's - CLOSED - The Loop - Chicago, IL",21,3,"Restaurants, Pizza, Sandwiches, METADATA","222 N Wells St Chicago, IL 60601 Neighborhood: The Loop",,Yes,Yes,,Casual,Yes,$,No,No,Yes,No,No,,,No,,,,,Yes,,(312) 372-2322,1
8p2TNg1jXZ26jOTbYa8OjA,Rudy's Bar & Grille,"Rudy's Bar & Grille - The Loop - Chicago, IL",63,4,"Restaurants, Burgers, Nightlife, Bars, American (New), METADATA","69 E Madison (between Dearborn St & Clark St) Chicago, IL 60603 Neighborhood: The Loop","Mon-Fri, Sun 11 am - 2 am Sat 11 am - 3 am",No,Yes,Street,Casual,Yes,$$,Yes,No,Yes,Yes,No,No,"Lunch, Dinner",Full Bar,Average,Casual,Yes,No,Yes,http://www.rudysbarandgrillechicagâ€¦,(312) 332-8111,13
a-SLHlP85GDtegPls7w0cw,Roly Poly Sandwiches,"Roly Poly Sandwiches - The Loop - Chicago, IL",84,4,"Restaurants, Sandwiches, METADATA","29 S LaSalle Dr Chicago, IL 60603 Neighborhood: The Loop",Mon-Fri 9 am - 4 pm,Yes,Yes,Street,Casual,No,$,No,Yes,Yes,No,Yes,,Lunch,No,Quiet,Casual,Yes,Yes,Yes,http://www.rolypoly.com,(312) 920-9800,10
AYdOe36tYzKHglzisR88Qw,Ronny's Original Steakhouse,"Ronny's Original Steakhouse - CLOSED - The Loop - Chicago, IL",10,4,"Restaurants, METADATA","340 S Wabash Ave Chicago, IL 60604 Neighborhood: The Loop",,Yes,Yes,,Casual,Yes,$$,No,No,Yes,No,No,,,No,,,,,Yes,,(312) 346-9487,2
ESyDB2ssOvHzMpALZlziiw,Robinson's No 1 Ribs,"Robinson's No 1 Ribs - Near West Side - Chicago, IL",16,4,"Restaurants, Barbeque, Food, Food Delivery Services, METADATA","225 S Canal St (between Jackson Blvd & Adams St) Chicago, IL 60606 Neighborhood: Near West Side",Mon-Sun 10 am - 8:30 pm,Yes,Yes,,Casual,No,$$,No,Yes,Yes,No,No,,Lunch,,Average,,,Yes,,http://www.robinsonsribsunionstatiâ€¦,(312) 258-8477,4
