"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-06-01",,,,,"68",",,0","55",",,0","61",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-06-02",,,,,"64",",,0","55",",,0","58",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-06-03",,,,,"75",",,0","56",",,0","59",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-06-04",,,,,"75",",,0","58",",,0","74",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-06-05",,,,,"87",",,0","64",",,0","72",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-06-06",,,,,"87",",,0","66",",,0","76",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-06-07",,,,,"84",",,0","68",",,0","77",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-06-08",,,,,"88",",,0","66",",,0","75",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-06-09",,,,,"76",",,0","65",",,0","65",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-06-10",,,,,"86",",,0","63",",,0","75",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-06-11",,,,,"83",",,0","71",",,0","73",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-06-12",,,,,"78",",,0","64",",,0","66",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-06-13",,,,,"85",",,0","65",",,0","73",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-06-14",,,,,"77",",,0","62",",,0","67",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-06-15",,,,,"70",",,0","57",",,0","59",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-06-16",,,,,"70",",,0","57",",,0","58",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-06-17",,,,,"64",",,0","56",",,0","57",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-06-18",,,,,"66",",,0","56",",,0","58",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-06-19",,,,,"71",",,0","57",",,0","62",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-06-20",,,,,"74",",,0","59",",,0","71",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-06-21",,,,,"84",",,0","67",",,0","68",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-06-22",,,,,"75",",,0","62",",,0","63",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-06-23",,,,,"91",",,0","62",",,0","81",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-06-24",,,,,"96",",,0","77",",,0","77",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-06-25",,,,,"83",",,0","70",",,0","70",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-06-26",,,,,"80",",,0","67",",,0","76",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-06-27",,,,,"91",",,0","73",",,0","83",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-06-28",,,,,"93",",,0","75",",,0","78",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-06-29",,,,,"81",",,0","73",",,0","75",",,0,2400"
