restaurantID,name,location,reviewCount,rating,categories,address,Hours,GoodforKids,AcceptsCreditCards,Parking,Attire,GoodforGroups,PriceRange,TakesReservations,Delivery,Takeout,WaiterService,OutdoorSeating,WiFi,GoodFor,Alcohol,NoiseLevel,Ambience,HasTV,Caters,WheelchairAccessible,webSite,phoneNumber,filReviewCount 
-CehJGwsRwnYZ7e3vvX_Xg,"Reflections of Health Integrative Care Center","Reflections of Health Integrative Care Center - The Loop - Chicago, IL",28,3,"Health and Medical, Chiropractors, Beauty and Spas, Massage, Acupuncture, METADATA","55 W Wacker Dr Ste 716 (between Wabash Ave & Garland Ct) Chicago, IL 60601 Neighborhood: The Loop","Mon, Wed 9 am - 5 pm Tue, Thu-Fri 9 am - 8 pm Sat 9 am - 3 pm",,Yes,Garage,,,$$,,,,,,,,,,,,,Yes,http://www.reflections-of-health.câ€¦,"(773) 826-9455",12
-eXYVd25zif2AOVfzs4azg,"Rainbow Cone At the Park Grill Cafe","Rainbow Cone At the Park Grill Cafe - The Loop - Chicago, IL",1,5,"Food, Ice Cream & Frozen Yogurt, METADATA","11 N Michigan Ave (between Washington St & Madison St) Chicago, IL 60601 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,,"(312) 521-7275",0
-iC6IMSJaNL8BcWHxvf9Sg,"Roti Mediterranean Grill","Roti Mediterranean Grill - The Loop - Chicago, IL",93,4,"Restaurants, Mediterranean, METADATA","310 W Adams (between Franklin St & Wacker Dr) Chicago, IL 60606 Neighborhood: The Loop",,No,Yes,Street,Casual,Yes,$,No,No,Yes,No,No,,Lunch,No,Average,Casual,No,Yes,Yes,http://www.roti.com,"(312) 236-3500",7
1rJZHq8Cce3PJxCte1lalw,"Roti Mediterranean Grill","Roti Mediterranean Grill - The Loop - Chicago, IL",39,4,"Restaurants, Mediterranean, METADATA","200 W Randolph (between Wells St & Franklin St) Chicago, IL 60606 Neighborhood: The Loop","Mon-Fri 11 am - 8 pm Sat 11 am - 4 pm",Yes,Yes,Street,Casual,Yes,$,No,Yes,Yes,No,Yes,No,Lunch,No,"Very Loud",Casual,No,Yes,,http://www.roti.com,"(312) 332-6013",5
1uqwWskpD_i2Icx0f9S8jg,"Roti Mediterranean Grill","Roti Mediterranean Grill - The Loop - Chicago, IL",102,4,"Restaurants, Mediterranean, METADATA","33 N Dearborn Chicago, IL 60602 Neighborhood: The Loop","Mon-Fri 7 am - 8 pm Sat 10 am - 4 pm",Yes,Yes,Street,Casual,Yes,$,No,No,Yes,No,Yes,Free,Lunch,No,Average,Casual,No,Yes,Yes,http://roti.com,"(312) 263-9000",7
2fUEU9X3sKA52G45edMizA,RLJewelers,"RLJewelers - The Loop - Chicago, IL",15,5,"Shopping, Jewelry, METADATA","21 N Wabash Ave Chicago, IL 60602 Neighborhood: The Loop","Mon-Fri 10:30 am - 5:30 pm Sat 10:30 am - 5 pm",,Yes,Street,,,$$,,,,,,,,,,,,,Yes,http://www.rljewelerschicago.com,"(312) 251-1377",6
42fKxghGjTmoBaTsX0OiFg,"Ronny's Original Chicago Steak House","Ronny's Original Chicago Steak House - The Loop - Chicago, IL",67,4,"Restaurants, Steakhouses, Sandwiches, Barbeque, METADATA","100 W Randolph St (between Michigan Ave & Beaubien Ct) Chicago, IL 60601 Neighborhood: The Loop",,Yes,Yes,Street,Casual,Yes,$,No,No,Yes,No,No,No,Lunch,"Beer & Wine Only",Average,Casual,No,,Yes,http://www.ronnyssteakhouse.com,"(312) 346-9487",11
4lT8Sh13Gze4YzqrjMeieA,"Royal Pawn Shop","Royal Pawn Shop - The Loop - Chicago, IL",4,3,"Shopping, Pawn Shops, METADATA","428 S Clark St (between Van Buren St & Congress Pky) Chicago, IL 60605 Neighborhood: The Loop",,,Yes,,,,,,,,,,,,,,,,,,http://www.royalpayscash.com,"(312) 427-6542",16
4VyzVcgkwRSCoatWZraTJw,"Rapid Application","Rapid Application - The Loop - Chicago, IL",1,5,"Home Services, Home Inspectors, METADATA","308 W Randolph Street Chicago, IL 60606 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,,"(312) 372-7188",0
5-0yv3wd_8uKZbqdfDlkzw,"Rolling Stone Magazine","Rolling Stone Magazine - The Loop - Chicago, IL",2,5,"Mass Media, Print Media, METADATA","333 N Michigan Ave Ste 707 (between Wacker Pl & Macchesneyer Dr) Chicago, IL 60601 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,,"(312) 782-2366",0
5q-cLosO7SaGaoTjuF92fA,"Riviera Health Club","Riviera Health Club - The Loop - Chicago, IL",1,4,"Active Life, Fitness & Instruction, Gyms, METADATA","400 E Randolph St Ste 740 (at Field Blvd) Chicago, IL 60601 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,http://www.rivierasports.com/,"(312) 527-2525",1
7HkdXqAPiujN4CIQvPcw4Q,"Ruby of Siam","Ruby of Siam - The Loop - Chicago, IL",106,4,"Restaurants, Thai, METADATA","170 W Washington St (between La Salle St & Wells St) Chicago, IL 60602 Neighborhood: The Loop","Mon-Thu 10:30 am - 9 pm Fri 10:30 am - 10 pm Sat 12 pm - 10 pm",Yes,Yes,Street,Casual,Yes,$$,No,Yes,Yes,Yes,No,,Lunch,No,Average,Casual,No,Yes,Yes,http://www.rubyofsiamchicago.com,"(312) 609-0000",11
